pdb_id,phi,psi,source
1UBQ,-91.0202,138.2641,original
1UBQ,-131.0989,163.0466,original
1UBQ,-115.9912,140.226,original
1UBQ,-118.0303,114.2244,original
1UBQ,-95.2261,127.5416,original
1UBQ,-99.5796,170.7542,original
1UBQ,-73.4252,-6.9358,original
1UBQ,-101.3971,14.9293,original
1UBQ,77.4447,16.5444,original
1UBQ,-96.2711,138.0789,original
1UBQ,-119.9447,131.7568,original
1UBQ,-109.4737,141.9885,original
1UBQ,-101.4413,139.7376,original
1UBQ,-126.4132,154.0002,original
1UBQ,-111.7952,121.1288,original
1UBQ,-139.0196,170.7171,original
1UBQ,-120.0428,144.5115,original
1UBQ,-54.9367,-24.527,original
1UBQ,-79.8384,-8.1368,original
1UBQ,-71.006,148.4354,original
1UBQ,-83.7038,160.4343,original
1UBQ,-61.3275,-37.21,original
1UBQ,-57.5667,-40.4877,original
1UBQ,-65.4883,-44.4443,original
1UBQ,-58.4233,-46.4088,original
1UBQ,-60.8123,-37.9648,original
1UBQ,-66.1219,-38.1201,original
1UBQ,-64.2163,-37.259,original
1UBQ,-69.9996,-39.564,original
1UBQ,-62.1262,-48.6278,original
1UBQ,-53.4121,-41.7666,original
1UBQ,-93.58,-24.3986,original
1UBQ,-123.5788,-6.3457,original
1UBQ,81.2164,5.3213,original
1UBQ,-79.7333,124.8668,original
1UBQ,-57.003,136.967,original
1UBQ,-57.1842,-32.1653,original
1UBQ,-68.2389,-15.5716,original
1UBQ,-95.7981,-10.4692,original
1UBQ,-84.8311,129.6955,original
1UBQ,-121.2432,115.9564,original
1UBQ,-103.5581,130.2408,original
1UBQ,-122.0749,131.807,original
1UBQ,-144.2704,129.6366,original
1UBQ,48.1713,45.994,original
1UBQ,61.7145,21.6164,original
1UBQ,-115.0664,142.713,original
1UBQ,-85.7723,130.2829,original
1UBQ,-79.5552,138.333,original
1UBQ,-101.8295,139.9595,original
1UBQ,-48.1901,-42.21,original
1UBQ,-82.9252,-8.8886,original
1UBQ,-85.4496,165.4644,original
1UBQ,-104.5098,164.5928,original
1UBQ,-61.218,-36.2052,original
1UBQ,-63.8914,-29.6222,original
1UBQ,-55.5523,-39.3028,original
1UBQ,-91.0216,4.6514,original
1UBQ,57.9396,45.3553,original
1UBQ,-88.6669,116.4408,original
1UBQ,-103.4373,169.5413,original
1UBQ,-54.7883,143.0572,original
1UBQ,66.8974,19.1472,original
1UBQ,-71.1469,159.5173,original
1UBQ,-119.1522,126.6734,original
1UBQ,-103.1357,154.6117,original
1UBQ,-105.5834,135.6702,original
1UBQ,-106.9736,115.7755,original
1UBQ,-108.1151,139.9337,original
1UBQ,-96.0197,138.7999,original
1UBQ,-117.6195,98.8111,original
1UBQ,-83.7244,150.394,original
1UBQ,-97.6604,93.8796,original
1UBQ,120.4148,125.5579,original
1VII,-64.3078,100.1907,original
1VII,-63.1389,154.2303,original
1VII,-33.4846,-75.6365,original
1VII,-36.2104,-64.3875,original
1VII,-47.252,-56.9821,original
1VII,-42.5803,-56.9377,original
1VII,-35.8229,-63.2446,original
1VII,-79.3815,39.3603,original
1VII,-140.7734,-78.9173,original
1VII,-79.6516,-72.8015,original
1VII,154.2853,-54.9436,original
1VII,-90.6174,-121.6614,original
1VII,-125.3646,162.5047,original
1VII,-67.2166,-43.2033,original
1VII,-53.3453,-59.5584,original
1VII,-61.6647,-37.0402,original
1VII,-50.7151,-28.1037,original
1VII,-85.3948,28.9423,original
1VII,-107.8588,-15.9307,original
1VII,-79.523,172.2885,original
1VII,-58.2559,146.6693,original
1VII,-54.8409,-41.0935,original
1VII,-67.4633,-30.4784,original
1VII,-72.4367,-26.8127,original
1VII,-68.8814,-77.1346,original
1VII,-37.7884,-36.61,original
1VII,-67.7742,-73.4942,original
1VII,-42.5146,-26.7584,original
1VII,-71.1035,-80.3022,original
1VII,-47.74,-20.8664,original
1VII,-77.0189,-36.0885,original
1VII,-157.5561,175.9193,original
1VII,68.3774,-11.0346,original
1VII,-78.1114,-18.7382,original
2LZM,-144.8893,171.6174,original
2LZM,-52.0613,-40.3062,original
2LZM,-69.0884,-42.6213,original
2LZM,-64.5414,-39.1523,original
2LZM,-62.4384,-49.4619,original
2LZM,-70.096,-25.6484,original
2LZM,-76.7414,-21.3157,original
2LZM,-71.7492,-46.1425,original
2LZM,-71.5632,-30.9224,original
2LZM,-102.422,-32.6052,original
2LZM,84.0255,-177.4614,original
2LZM,-135.8576,120.3063,original
2LZM,-134.9232,127.6686,original
2LZM,-93.8797,-7.3266,original
2LZM,-117.0979,145.6068,original
2LZM,-53.7789,139.6774,original
2LZM,-141.917,168.8644,original
2LZM,-102.1407,137.5544,original
2LZM,-49.2456,171.4917,original
2LZM,-64.48,-26.4817,original
2LZM,-85.3488,-5.6542,original
2LZM,88.5498,14.67,original
2LZM,-94.4091,147.6111,original
2LZM,-67.8549,124.277,original
2LZM,-141.8658,165.2669,original
2LZM,-155.0724,158.0703,original
2LZM,79.567,-133.8898,original
2LZM,-99.2043,70.0597,original
2LZM,66.1124,31.0479,original
2LZM,-84.372,96.973,original
2LZM,-64.2921,128.7281,original
2LZM,-94.6467,-48.5437,original
2LZM,-157.1555,151.4812,original
2LZM,-91.7637,-3.026,original
2LZM,-71.6582,138.9087,original
2LZM,-69.4612,-12.096,original
2LZM,-89.3784,130.0573,original
2LZM,-61.9025,-23.1684,original
2LZM,-75.8114,-39.076,original
2LZM,-61.7913,-34.4005,original
2LZM,-70.5918,-43.1956,original
2LZM,-61.8968,-37.2837,original
2LZM,-71.3071,-34.5304,original
2LZM,-68.3623,-39.7457,original
2LZM,-60.8019,-48.4629,original
2LZM,-63.8488,-36.9301,original
2LZM,-66.5654,-39.002,original
2LZM,-66.3753,-39.707,original
2LZM,-91.7927,-31.302,original
2LZM,86.3178,31.6756,original
2LZM,-157.7218,173.9338,original
2LZM,-90.2315,109.8896,original
2LZM,-101.9304,-28.8605,original
2LZM,65.8244,36.464,original
2LZM,74.704,12.7968,original
2LZM,-137.5782,134.8079,original
2LZM,-121.5328,171.1583,original
2LZM,-97.0723,167.1085,original
2LZM,-55.519,-48.311,original
2LZM,-49.728,-49.3526,original
2LZM,-70.5893,-34.8502,original
2LZM,-65.1068,-42.2463,original
2LZM,-71.6592,-27.6416,original
2LZM,-65.4605,-44.8874,original
2LZM,-63.5581,-35.5535,original
2LZM,-66.4078,-49.2871,original
2LZM,-51.4967,-45.1629,original
2LZM,-63.4394,-42.5635,original
2LZM,-63.4205,-40.9729,original
2LZM,-65.7746,-45.8243,original
2LZM,-57.7135,-44.5739,original
2LZM,-68.6451,-35.8366,original
2LZM,-60.9413,-49.9718,original
2LZM,-57.6892,-47.5798,original
2LZM,-61.446,-36.672,original
2LZM,-65.8196,-44.3138,original
2LZM,-52.1385,-52.4565,original
2LZM,-65.182,-23.1042,original
2LZM,-96.1338,-7.776,original
2LZM,-99.052,126.3764,original
2LZM,-62.2501,-29.3178,original
2LZM,-86.2804,-32.2334,original
2LZM,-87.975,-42.7669,original
2LZM,-47.9725,-48.6484,original
2LZM,-62.5877,-40.3101,original
2LZM,-66.1239,-46.8526,original
2LZM,-52.152,-47.6724,original
2LZM,-64.5293,-31.076,original
2LZM,-76.7798,-18.5533,original
2LZM,-88.0533,156.6363,original
2LZM,-74.9664,174.9846,original
2LZM,-61.591,-42.228,original
2LZM,-67.8829,-48.147,original
2LZM,-63.6558,-29.5905,original
2LZM,-57.7825,-41.0431,original
2LZM,-62.1703,-34.6696,original
2LZM,-67.0744,-36.0815,original
2LZM,-74.6741,-38.1289,original
2LZM,-56.8192,-41.6648,original
2LZM,-57.2233,-51.0197,original
2LZM,-56.7358,-46.9259,original
2LZM,-60.0515,-42.835,original
2LZM,-59.9035,-44.9963,original
2LZM,-70.6822,-50.6718,original
2LZM,-106.9277,-6.0666,original
2LZM,77.1953,157.7216,original
2LZM,-49.9495,-49.0278,original
2LZM,-61.0854,-52.6171,original
