experiment,variant,sigma,n_samples,phi_std,psi_std,entropy,gmm_compliance,lovell_favoured,lovell_allowed
original,baseline,0.01,200,0.4386,0.3378,0.4643,1.0,1.0,1.0
original,baseline,0.05,200,2.2769,1.6171,2.0707,1.0,1.0,1.0
original,baseline,0.1,200,3.9561,3.7248,2.7641,1.0,1.0,1.0
original,baseline,0.2,200,8.4111,6.7791,3.4406,1.0,1.0,1.0
original,baseline,0.5,200,22.6555,21.3956,4.5107,0.885,0.82,0.925
original,baseline,1.0,200,63.2447,48.226,5.4304,0.565,0.47,0.675
original,physics,0.01,200,0.3209,0.3445,0.3178,1.0,1.0,1.0
original,physics,0.05,200,1.553,1.8283,1.9407,1.0,1.0,1.0
original,physics,0.1,200,3.1212,4.3043,2.7179,1.0,1.0,1.0
original,physics,0.2,200,5.7026,7.461,3.2942,1.0,1.0,1.0
original,physics,0.5,200,14.5351,13.6579,4.0644,1.0,1.0,1.0
original,physics,1.0,200,29.8113,41.6684,4.9813,0.95,0.91,0.965
augmented,baseline,0.01,200,0.4229,0.2093,0.2066,1.0,1.0,1.0
augmented,baseline,0.05,200,2.1433,1.4285,1.9784,1.0,1.0,1.0
augmented,baseline,0.1,200,4.0564,2.8308,2.6394,1.0,1.0,1.0
augmented,baseline,0.2,200,8.4304,7.5381,3.4948,1.0,0.995,1.0
augmented,baseline,0.5,200,23.3469,22.9741,4.5614,0.81,0.785,0.855
augmented,baseline,1.0,200,49.2329,50.7518,5.3307,0.56,0.46,0.665
augmented,physics,0.01,200,0.1363,0.2279,-0.317,1.0,1.0,1.0
augmented,physics,0.05,200,0.6724,1.1389,1.2855,1.0,1.0,1.0
augmented,physics,0.1,200,1.3478,2.2949,1.9835,1.0,1.0,1.0
augmented,physics,0.2,200,2.8974,5.1071,2.7662,1.0,1.0,1.0
augmented,physics,0.5,200,7.168,17.4311,3.8329,0.995,0.995,0.995
augmented,physics,1.0,200,38.3657,44.4382,5.1396,0.905,0.87,0.935
