experiment,variant,sigma,sample_idx,phi,psi
original,baseline,0.01,0,-1.044781,127.77932
original,baseline,0.01,1,-21.283485,125.19028
original,baseline,0.01,2,-23.603104,134.84805
original,baseline,0.01,3,-13.185907,130.35316
original,baseline,0.01,4,7.625926,133.38188
original,baseline,0.01,5,11.822445,131.06372
original,baseline,0.01,6,-10.44009,133.42021
original,baseline,0.01,7,-23.682505,128.37968
original,baseline,0.01,8,-17.522186,140.77467
original,baseline,0.01,9,-23.051014,135.04974
original,baseline,0.01,10,-24.959314,127.73711
original,baseline,0.01,11,-20.126871,122.504524
original,baseline,0.01,12,10.633823,136.8173
original,baseline,0.01,13,0.57497394,125.24951
original,baseline,0.01,14,2.1423593,134.90002
original,baseline,0.01,15,-0.9041986,129.24243
original,baseline,0.01,16,-29.745567,128.52414
original,baseline,0.01,17,4.834188,134.71255
original,baseline,0.01,18,-34.259212,134.43405
original,baseline,0.01,19,-23.40225,137.40248
original,baseline,0.01,20,-15.780184,130.08253
original,baseline,0.01,21,-11.059485,123.12132
original,baseline,0.01,22,8.679182,118.46739
original,baseline,0.01,23,-12.771876,134.47461
original,baseline,0.01,24,6.5195355,137.57376
original,baseline,0.01,25,-3.4787483,132.77911
original,baseline,0.01,26,-37.588226,129.29489
original,baseline,0.01,27,0.90065926,121.84462
original,baseline,0.01,28,11.386397,126.402664
original,baseline,0.01,29,-15.495594,131.4979
original,baseline,0.01,30,-6.185413,134.07828
original,baseline,0.01,31,-1.9711728,123.89499
original,baseline,0.01,32,4.8880124,132.86009
original,baseline,0.01,33,3.7378125,136.94342
original,baseline,0.01,34,4.9086328,139.5145
original,baseline,0.01,35,-13.604165,140.12811
original,baseline,0.01,36,8.432435,134.8264
original,baseline,0.01,37,-5.7428308,129.42444
original,baseline,0.01,38,3.3734941,133.4516
original,baseline,0.01,39,5.8600106,140.88231
original,baseline,0.01,40,-27.227812,138.19086
original,baseline,0.01,41,-16.411442,133.47926
original,baseline,0.01,42,-11.352304,138.56662
original,baseline,0.01,43,-17.877092,141.95752
original,baseline,0.01,44,5.1975784,129.68959
original,baseline,0.01,45,-13.531959,127.12058
original,baseline,0.01,46,-15.4623785,139.13731
original,baseline,0.01,47,-17.192623,133.82259
original,baseline,0.01,48,-8.655502,133.71234
original,baseline,0.01,49,-2.8195684,150.42558
original,baseline,0.01,50,-17.15828,133.67609
original,baseline,0.01,51,-5.5534096,127.09901
original,baseline,0.01,52,8.637766,128.62524
original,baseline,0.01,53,-10.249954,140.77888
original,baseline,0.01,54,9.787247,137.0428
original,baseline,0.01,55,-18.415628,134.98514
original,baseline,0.01,56,4.48617,133.52594
original,baseline,0.01,57,-20.865105,126.47353
original,baseline,0.01,58,6.6952677,141.29005
original,baseline,0.01,59,2.737448,121.7552
original,baseline,0.01,60,-6.5629325,139.03725
original,baseline,0.01,61,2.4552984,129.0111
original,baseline,0.01,62,-13.934914,129.47574
original,baseline,0.01,63,-31.174961,137.18594
original,baseline,0.01,64,-29.158966,132.88818
original,baseline,0.01,65,-20.421875,133.96597
original,baseline,0.01,66,-5.9093337,132.77002
original,baseline,0.01,67,-11.529099,131.0115
original,baseline,0.01,68,5.524444,140.40724
original,baseline,0.01,69,-4.0095205,128.54543
original,baseline,0.01,70,-10.484451,130.02823
original,baseline,0.01,71,-6.499497,128.51514
original,baseline,0.01,72,7.2297363,139.12634
original,baseline,0.01,73,8.565529,132.69713
original,baseline,0.01,74,-8.930749,125.359215
original,baseline,0.01,75,-1.8499746,128.47218
original,baseline,0.01,76,0.09539094,130.26982
original,baseline,0.01,77,7.094388,128.22176
original,baseline,0.01,78,-5.1419535,132.70949
original,baseline,0.01,79,-20.57085,140.30614
original,baseline,0.01,80,-27.630936,130.22993
original,baseline,0.01,81,-1.0289811,132.68301
original,baseline,0.01,82,-23.624296,134.95683
original,baseline,0.01,83,-3.9907062,129.81706
original,baseline,0.01,84,15.774459,129.12132
original,baseline,0.01,85,6.3733106,126.23755
original,baseline,0.01,86,-12.520479,131.53665
original,baseline,0.01,87,12.707336,133.23328
original,baseline,0.01,88,-9.787292,131.5853
original,baseline,0.01,89,-10.12265,140.12071
original,baseline,0.01,90,-3.8148527,139.40738
original,baseline,0.01,91,-2.0240052,134.37907
original,baseline,0.01,92,-20.39996,136.56715
original,baseline,0.01,93,-2.692279,126.621284
original,baseline,0.01,94,-0.3617192,143.32712
original,baseline,0.01,95,-41.037037,134.34268
original,baseline,0.01,96,10.5002985,131.4659
original,baseline,0.01,97,-8.986593,136.89987
original,baseline,0.01,98,6.759885,137.56516
original,baseline,0.01,99,0.41171774,129.23218
original,baseline,0.01,100,-1.6102673,134.5588
original,baseline,0.01,101,-14.8817835,134.58473
original,baseline,0.01,102,-7.468663,129.03316
original,baseline,0.01,103,-25.008717,123.86563
original,baseline,0.01,104,12.429502,125.373314
original,baseline,0.01,105,11.245064,129.82549
original,baseline,0.01,106,3.1009197,134.58339
original,baseline,0.01,107,-12.885123,141.09943
original,baseline,0.01,108,-19.234499,135.08093
original,baseline,0.01,109,-21.51239,125.76485
original,baseline,0.01,110,16.822912,132.20654
original,baseline,0.01,111,1.391628,123.445045
original,baseline,0.01,112,-13.675419,123.91559
original,baseline,0.01,113,17.590574,126.49568
original,baseline,0.01,114,8.092683,128.38704
original,baseline,0.01,115,-4.450909,140.02188
original,baseline,0.01,116,-9.077914,135.79242
original,baseline,0.01,117,9.420172,132.69948
original,baseline,0.01,118,8.258246,137.81808
original,baseline,0.01,119,-34.81507,140.84074
original,baseline,0.01,120,-21.550898,141.49765
original,baseline,0.01,121,-8.594807,125.206795
original,baseline,0.01,122,-9.457754,132.91075
original,baseline,0.01,123,-12.259623,152.79994
original,baseline,0.01,124,7.68959,127.41928
original,baseline,0.01,125,-3.6213868,134.13416
original,baseline,0.01,126,-25.210447,134.12352
original,baseline,0.01,127,0.315796,137.82863
original,baseline,0.01,128,-33.99398,125.24551
original,baseline,0.01,129,-4.4449463,140.37236
original,baseline,0.01,130,-18.317146,129.03899
original,baseline,0.01,131,-6.1976004,132.73013
original,baseline,0.01,132,-11.236357,133.84392
original,baseline,0.01,133,-4.9352865,133.01453
original,baseline,0.01,134,15.0570345,149.14043
original,baseline,0.01,135,-3.6554532,131.02925
original,baseline,0.01,136,0.7215812,124.81466
original,baseline,0.01,137,5.136034,125.51885
original,baseline,0.01,138,-8.336181,135.20886
original,baseline,0.01,139,-16.047655,123.33516
original,baseline,0.01,140,-13.569137,134.68083
original,baseline,0.01,141,-16.047737,128.97977
original,baseline,0.01,142,-4.3443003,135.52301
original,baseline,0.01,143,1.1573199,133.26837
original,baseline,0.01,144,2.5841591,134.18738
original,baseline,0.01,145,15.490753,131.0582
original,baseline,0.01,146,-3.8449147,139.22382
original,baseline,0.01,147,-16.22676,118.408226
original,baseline,0.01,148,-32.90898,124.85828
original,baseline,0.01,149,-9.511544,129.62349
original,baseline,0.01,150,-2.5920825,137.5277
original,baseline,0.01,151,-10.892955,128.86322
original,baseline,0.01,152,3.9435823,125.76595
original,baseline,0.01,153,-13.527138,130.83951
original,baseline,0.01,154,7.601642,132.13026
original,baseline,0.01,155,-25.09839,126.75495
original,baseline,0.01,156,2.2841551,145.73889
original,baseline,0.01,157,-20.510443,137.20595
original,baseline,0.01,158,-10.220965,130.79407
original,baseline,0.01,159,-3.1481466,127.8251
original,baseline,0.01,160,4.94933,148.95493
original,baseline,0.01,161,3.9043186,142.70833
original,baseline,0.01,162,11.523095,138.91862
original,baseline,0.01,163,6.7014937,143.60301
original,baseline,0.01,164,-2.1976142,139.35866
original,baseline,0.01,165,-8.272604,124.84348
original,baseline,0.01,166,-38.789158,118.66634
original,baseline,0.01,167,-19.438215,132.27312
original,baseline,0.01,168,-23.97256,121.77501
original,baseline,0.01,169,-20.870571,132.0917
original,baseline,0.01,170,-7.294226,138.12852
original,baseline,0.01,171,1.2683862,127.924065
original,baseline,0.01,172,-11.251982,129.42155
original,baseline,0.01,173,-27.4678,126.48708
original,baseline,0.01,174,-7.834559,127.175224
original,baseline,0.01,175,-17.036983,131.18391
original,baseline,0.01,176,4.5823455,137.10799
original,baseline,0.01,177,-20.599022,124.78668
original,baseline,0.01,178,-9.61999,136.31372
original,baseline,0.01,179,-13.864809,134.08948
original,baseline,0.01,180,-17.094664,137.73268
original,baseline,0.01,181,-24.556725,130.42299
original,baseline,0.01,182,-3.4948142,134.83656
original,baseline,0.01,183,-7.86751,133.9976
