experiment,sigma,metric,baseline_val,physics_val,delta,physics_wins,mwu_stat,p_value,cohen_d,effect_label,note
original,0.01,gmm_compliance,0.0,0.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.01,lovell_favoured,1.0,1.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.01,lovell_allowed,1.0,1.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.01,phi_abs,74.5175,73.225,1.2925,1,345.0,0.0,3.3402,large,n=200 per group
original,0.01,psi_abs,4.7572,22.2205,-17.4633,0,40000.0,0.0,-22.829,large,n=200 per group
original,0.05,gmm_compliance,0.0,0.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.05,lovell_favoured,1.0,1.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.05,lovell_allowed,1.0,1.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.05,phi_abs,74.4364,73.1688,1.2676,1,11105.0,0.0,0.8831,large,n=200 per group
original,0.05,psi_abs,5.3861,21.9874,-16.6013,0,38905.0,0.0,-3.2145,large,n=200 per group
original,0.1,gmm_compliance,0.0,0.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.1,lovell_favoured,0.955,0.965,0.01,1,,,,n/a (scalar),scalar -- no significance test
original,0.1,lovell_allowed,1.0,0.995,-0.005,0,,,,n/a (scalar),scalar -- no significance test
original,0.1,phi_abs,74.4206,72.9731,1.4475,1,14970.0,0.0,0.5495,medium,n=200 per group
original,0.1,psi_abs,8.8988,21.7662,-12.8674,0,31382.0,0.0,-0.9845,large,n=200 per group
original,0.2,gmm_compliance,0.0,0.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.2,lovell_favoured,0.86,0.86,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.2,lovell_allowed,0.985,0.945,-0.04,0,,,,n/a (scalar),scalar -- no significance test
original,0.2,phi_abs,74.6251,71.0798,3.5453,1,14434.0,0.0,0.6094,medium,n=200 per group
original,0.2,psi_abs,19.2568,27.6687,-8.4119,0,24403.0,0.0001,-0.0465,negligible,n=200 per group
original,0.5,gmm_compliance,0.0,0.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,0.5,lovell_favoured,0.865,0.895,0.03,1,,,,n/a (scalar),scalar -- no significance test
original,0.5,lovell_allowed,0.965,0.95,-0.015,0,,,,n/a (scalar),scalar -- no significance test
original,0.5,phi_abs,74.1663,70.7116,3.4547,1,19302.0,0.5463,0.093,negligible,n=200 per group
original,0.5,psi_abs,36.4948,40.4313,-3.9365,0,22998.0,0.0095,-0.2591,small,n=200 per group
original,1.0,gmm_compliance,0.0,0.0,0.0,0,,,,n/a (scalar),scalar -- no significance test
original,1.0,lovell_favoured,0.755,0.825,0.07,1,,,,n/a (scalar),scalar -- no significance test
original,1.0,lovell_allowed,0.87,0.89,0.02,1,,,,n/a (scalar),scalar -- no significance test
original,1.0,phi_abs,67.854,72.8723,-5.0183,0,21017.0,0.3793,-0.0478,negligible,n=200 per group
original,1.0,psi_abs,61.1751,54.0272,7.1479,1,19326.0,0.5602,0.0471,negligible,n=200 per group
