experiment,variant,sigma,n_samples,phi_std,psi_std,entropy,gmm_compliance,lovell_favoured,lovell_allowed
original,baseline,0.01,200,0.4668,1.0762,1.0748,0.0,1.0,1.0
original,baseline,0.05,200,2.3207,5.4861,2.691,0.0,1.0,1.0
original,baseline,0.1,200,5.3624,14.1944,3.5851,0.0,0.945,1.0
original,baseline,0.2,200,9.1834,27.5615,4.1858,0.0,0.835,0.965
original,baseline,0.5,200,27.1737,62.1393,5.1348,0.0,0.795,0.895
original,baseline,1.0,200,41.4828,83.6811,5.4951,0.0,0.79,0.87
original,physics,0.01,200,0.3775,0.6131,0.6872,0.0,1.0,1.0
original,physics,0.05,200,1.353,4.6492,2.3385,0.0,1.0,1.0
original,physics,0.1,200,2.8071,13.3544,3.2309,0.0,0.97,0.995
original,physics,0.2,200,5.9056,33.0606,4.0561,0.0,0.815,0.935
original,physics,0.5,200,20.489,62.1987,4.994,0.0,0.845,0.92
original,physics,1.0,200,47.7004,83.1027,5.5614,0.0,0.775,0.9
