experiment,variant,sigma,sample_idx,phi,psi
original,baseline,0.01,0,-75.32518,-2.692057
original,baseline,0.01,1,-74.209015,-5.628875
original,baseline,0.01,2,-73.87348,-6.980617
original,baseline,0.01,3,-74.42425,-5.244845
original,baseline,0.01,4,-74.59659,-4.219516
original,baseline,0.01,5,-73.75746,-6.879779
original,baseline,0.01,6,-74.17905,-6.0153627
original,baseline,0.01,7,-73.663216,-7.0249686
original,baseline,0.01,8,-74.941956,-4.2896304
original,baseline,0.01,9,-74.71564,-3.792342
original,baseline,0.01,10,-73.48872,-7.3318863
original,baseline,0.01,11,-75.40255,-3.8067455
original,baseline,0.01,12,-75.26921,-2.1104105
original,baseline,0.01,13,-74.38922,-4.299989
original,baseline,0.01,14,-73.88208,-4.945091
original,baseline,0.01,15,-74.26477,-5.204554
original,baseline,0.01,16,-75.1774,-3.3588831
original,baseline,0.01,17,-73.76377,-5.709699
original,baseline,0.01,18,-74.14701,-4.658296
original,baseline,0.01,19,-74.2995,-5.446403
original,baseline,0.01,20,-74.638145,-4.4612417
original,baseline,0.01,21,-74.013855,-5.5491037
original,baseline,0.01,22,-75.00995,-3.2638593
original,baseline,0.01,23,-74.88281,-3.4925547
original,baseline,0.01,24,-73.86863,-5.58461
original,baseline,0.01,25,-74.181305,-5.102051
original,baseline,0.01,26,-74.79329,-3.837066
original,baseline,0.01,27,-74.12968,-5.874062
original,baseline,0.01,28,-74.19959,-5.3480973
original,baseline,0.01,29,-74.182144,-5.327705
original,baseline,0.01,30,-74.575455,-3.9894447
original,baseline,0.01,31,-74.40874,-4.632779
original,baseline,0.01,32,-74.62292,-4.7958307
original,baseline,0.01,33,-74.082664,-4.936612
original,baseline,0.01,34,-74.41777,-4.942539
original,baseline,0.01,35,-74.3327,-4.89981
original,baseline,0.01,36,-74.97581,-4.2512417
original,baseline,0.01,37,-75.185005,-4.0169673
original,baseline,0.01,38,-74.98237,-4.345877
original,baseline,0.01,39,-75.65835,-2.5463037
original,baseline,0.01,40,-75.38081,-3.7328095
original,baseline,0.01,41,-74.456154,-4.47715
original,baseline,0.01,42,-74.38662,-5.011801
original,baseline,0.01,43,-74.43331,-4.8912024
original,baseline,0.01,44,-74.14043,-6.2795644
original,baseline,0.01,45,-74.848915,-4.02174
original,baseline,0.01,46,-74.20499,-5.3820853
original,baseline,0.01,47,-74.22219,-4.448909
original,baseline,0.01,48,-73.53555,-7.369423
original,baseline,0.01,49,-74.437836,-5.056899
original,baseline,0.01,50,-73.80727,-6.090326
original,baseline,0.01,51,-74.42195,-4.1931367
original,baseline,0.01,52,-74.60523,-4.100856
original,baseline,0.01,53,-74.3556,-4.1592135
original,baseline,0.01,54,-75.15345,-3.0423856
original,baseline,0.01,55,-73.976364,-5.780078
original,baseline,0.01,56,-74.30848,-5.521329
original,baseline,0.01,57,-74.55913,-4.8365073
original,baseline,0.01,58,-74.83318,-4.218013
original,baseline,0.01,59,-74.883644,-3.183349
original,baseline,0.01,60,-75.24688,-4.8452854
original,baseline,0.01,61,-74.73898,-3.4782493
original,baseline,0.01,62,-73.85556,-6.405985
original,baseline,0.01,63,-74.119835,-5.740573
original,baseline,0.01,64,-74.436485,-4.6097493
original,baseline,0.01,65,-74.73799,-5.1906567
original,baseline,0.01,66,-74.17456,-5.6974087
original,baseline,0.01,67,-74.52241,-4.3270664
original,baseline,0.01,68,-75.10654,-3.3434188
original,baseline,0.01,69,-74.13643,-5.7791476
original,baseline,0.01,70,-74.009,-5.677876
original,baseline,0.01,71,-74.62397,-5.2217574
original,baseline,0.01,72,-73.95856,-6.4509997
original,baseline,0.01,73,-74.83225,-3.780114
original,baseline,0.01,74,-74.64015,-5.437972
original,baseline,0.01,75,-74.44016,-4.9682026
original,baseline,0.01,76,-74.77491,-2.980559
original,baseline,0.01,77,-75.25593,-4.448994
original,baseline,0.01,78,-75.00036,-3.940938
original,baseline,0.01,79,-74.54762,-5.127017
original,baseline,0.01,80,-73.91102,-5.9725285
original,baseline,0.01,81,-73.84324,-6.4710116
original,baseline,0.01,82,-74.17739,-5.733162
original,baseline,0.01,83,-75.49927,-1.8266429
original,baseline,0.01,84,-74.80467,-3.9741974
